Amharic,English,Occurrences,Example Location,Context,All Locations
የመረጃ አወቃቀር ስህተት,Data shape mismatch,1,src/routes/woreda.credentials.$requestId.print.tsx:824,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.print.tsx:824
የመረጃ ጭነት አልተሳካም,Failed to load credential data,1,src/routes/woreda.credentials.$requestId.print.tsx:767,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.print.tsx:767
የመተው ቀን ያስፈልጋል,End date required,1,src/routes/woreda.rental-houses.$houseId.index.tsx:625,string literal,src/routes/woreda.rental-houses.$houseId.index.tsx:625
የመተው ጥያቄ ተልኳል,Vacate request submitted,1,src/routes/woreda.rental-houses.$houseId.index.tsx:659,toast: success,src/routes/woreda.rental-houses.$houseId.index.tsx:659
የመታወቂያ ህትመት,Credential Printing,1,src/routes/woreda.credentials.$requestId.print.tsx:923,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.print.tsx:923
የመታወቂያ ቁጥር,Credential Number,1,src/routes/woreda.credentials.$requestId.certificate.tsx:133,labelAm/labelEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:133
የመታወቂያ ዝርዝር,Credential Details,1,src/routes/woreda.credentials.$requestId.certificate.tsx:129,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:129
የመታወቂያ ጥያቄ ዝርዝር,Credential Request Detail,1,src/routes/woreda.credentials.$requestId.index.tsx:760,titleAm/titleEn prop pair,src/routes/woreda.credentials.$requestId.index.tsx:760
የመታወቂያ ጥያቄዎች,Credential Requests,1,src/routes/woreda.credentials.index.tsx:183,titleAm/titleEn prop pair,src/routes/woreda.credentials.index.tsx:183
የመንገድ ስም፣ ምልክት,"Street, landmark",1,src/components/forms/HouseholdFormFields.tsx:152,placeholder,src/components/forms/HouseholdFormFields.tsx:152
የመኖሪያ ታሪክ,Occupancy History,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:354,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:354
የመኖሪያ ጊዜ,Residency Time,1,src/components/forms/ResidentWizardSteps.tsx:753,titleAm/titleEn prop pair,src/components/forms/ResidentWizardSteps.tsx:753
የሚያበቃበት,Expires,1,src/routes/v.$token.tsx:305,labelAm/labelEn prop pair,src/routes/v.$token.tsx:305
የሚያበቃበት ቀን,Expiry Date,1,src/routes/woreda.credentials.$requestId.certificate.tsx:153,labelAm/labelEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:153
የማስተካከያ ማስረጃ,Correction Evidence,1,src/routes/woreda.credentials.$requestId.index.tsx:324,string literal,src/routes/woreda.credentials.$requestId.index.tsx:324
የማንነት መታወቂያ ማረጋገጫ,Credential Verification,1,src/routes/woreda.credentials.verify.tsx:18,titleAm/titleEn prop pair,src/routes/woreda.credentials.verify.tsx:18
የማጽደቅ ወረፋ,Approval Queue,1,src/routes/woreda.approvals.tsx:111,titleAm/titleEn prop pair,src/routes/woreda.approvals.tsx:111
የምስል ሰነዶች,Official Images,1,src/routes/woreda.settings.woreda-configuration.tsx:300,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:300
የምስክር ወረቀት,Certificate Ref,1,src/routes/woreda.civil.$eventId.tsx:684,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:684
የምስክር ወረቀት ቁ.,Certificate Reference,1,src/routes/woreda.civil.marriage.new.tsx:272,labelAm/labelEn prop pair,src/routes/woreda.civil.marriage.new.tsx:272
የሞባይል ገንዘብ,Mobile Money,1,src/hooks/useReportsAggregate.ts:52,string literal,src/hooks/useReportsAggregate.ts:52
የሞት ምዝገባ ተልኳል,Death registration submitted,1,src/routes/woreda.civil.death.new.tsx:166,toast: success,src/routes/woreda.civil.death.new.tsx:166
የሞት ቀን,Date of Death,1,src/routes/woreda.civil.death.new.tsx:236,labelAm/labelEn prop pair,src/routes/woreda.civil.death.new.tsx:236
የሞት ቀን ያስፈልጋል,Date of death required,1,src/routes/woreda.civil.death.new.tsx:33,string literal,src/routes/woreda.civil.death.new.tsx:33
የሞት ዝርዝር,Death Details,1,src/routes/woreda.civil.death.new.tsx:249,titleAm/titleEn prop pair,src/routes/woreda.civil.death.new.tsx:249
የሟች መረጃ,Deceased Information,1,src/routes/woreda.civil.death.new.tsx:208,titleAm/titleEn prop pair,src/routes/woreda.civil.death.new.tsx:208
የሟች ስም (በእጅ),Deceased,1,src/routes/woreda.civil.death.new.tsx:219,labelAm/labelEn prop pair,src/routes/woreda.civil.death.new.tsx:219
የሥራ ሁኔታ,Occupation Status,1,src/components/forms/ResidentWizardSteps.tsx:710,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:710
የሥራ አድራሻ,Work Address,1,src/components/forms/ResidentWizardSteps.tsx:723,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:723
የሥራ ድርሽ,Position,1,src/components/forms/ResidentWizardSteps.tsx:720,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:720
የሰነድ ስም ያስፈልጋል,A document label is required,1,src/components/residents/ResidentProfileTabs.tsx:791,toast: error,src/components/residents/ResidentProfileTabs.tsx:791
የስራ አድራሻ,Work Address,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:302,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:302
የስርዓት ስህተት ተከስቷል፣ እባክዎ ቆይተው ይሞክሩ,Something went wrong — please try again in a moment,1,src/lib/errorMessages.ts:25,string literal,src/lib/errorMessages.ts:25
የቀረበ,Submitted,1,src/routes/woreda.rental-houses.requests.index.tsx:186,string literal,src/routes/woreda.rental-houses.requests.index.tsx:186
የቀበሌ የኪራይ ቤቶች,Kebele Rental Houses,1,src/routes/woreda.rental-houses.index.tsx:300,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.index.tsx:300
የቀድሞ አድራሻ,Former Residence,1,src/components/forms/ResidentWizardSteps.tsx:771,titleAm/titleEn prop pair,src/components/forms/ResidentWizardSteps.tsx:771
የቀድሞ አድራሻ,Former Address,1,src/components/forms/ResidentWizardSteps.tsx:788,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:788
የቁጥር ቅርጸቶች,Numbering Formats,1,src/routes/woreda.settings.woreda-configuration.tsx:301,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:301
የቅጣት መጠን (ETB),Penalty,1,src/routes/woreda.settings.woreda-configuration.tsx:1445,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:1445
የባንክ ዝውውር,Bank Transfer,1,src/hooks/useReportsAggregate.ts:51,string literal,src/hooks/useReportsAggregate.ts:51
የቤተሰብ ተጠሪ,Household Head,1,src/components/forms/HouseholdFormFields.tsx:219,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:219
የቤተሰብ ተጠሪ,Head,1,src/routes/woreda.households.$householdId.index.tsx:347,labelAm/labelEn prop pair,src/routes/woreda.households.$householdId.index.tsx:347
የቤተሰብ ኃላፊ,Household Head & Family Links,1,src/components/forms/HouseholdFormFields.tsx:213,titleAm/titleEn prop pair,src/components/forms/HouseholdFormFields.tsx:213
የቤተሰብ ኃላፊ,Household Head & Family,1,src/routes/woreda.households.$householdId.index.tsx:345,titleAm/titleEn prop pair,src/routes/woreda.households.$householdId.index.tsx:345
የቤተሰብ ኃላፊ,Household Head,1,src/routes/woreda.households.index.tsx:196,string literal,src/routes/woreda.households.index.tsx:196
የቤተሰብ ኃላፊ ተቀይሯል,Household head updated,1,src/routes/woreda.households.$householdId.index.tsx:177,toast: success,src/routes/woreda.households.$householdId.index.tsx:177
የቤተሰብ አባላት,Household Members,1,src/routes/woreda.households.$householdId.index.tsx:379,titleAm/titleEn prop pair,src/routes/woreda.households.$householdId.index.tsx:379
የቤቱ ባለንብረት,House Type,1,src/components/forms/HouseholdFormFields.tsx:309,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:309
የቤቱን ሁኔታ ይምረጡ,Select house type,1,src/lib/householdSchema.ts:32,string literal,src/lib/householdSchema.ts:32
የቤት ሁኔታ,Housing Type,1,src/components/forms/HouseholdFormFields.tsx:306,titleAm/titleEn prop pair,src/components/forms/HouseholdFormFields.tsx:306
የቤት መዝገብ ተመዝግቧል,Rental house registered,1,src/routes/woreda.rental-houses.new.tsx:104,toast: success,src/routes/woreda.rental-houses.new.tsx:104
የቤት መገኛ አካባቢ,House Location,1,src/components/forms/HouseholdFormFields.tsx:178,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:178
የቤት ቁጥር,House,1,src/routes/woreda.rental-houses.index.tsx:156,string literal,src/routes/woreda.rental-houses.index.tsx:156
የቤት ቁጥር,House number,1,src/routes/woreda.rental-houses.index.tsx:330,placeholder,src/routes/woreda.rental-houses.index.tsx:330
የቤት ቁጥር,House No.,1,src/routes/woreda.revenue.$paymentId.receipt.tsx:765,labelAm/labelEn prop pair,src/routes/woreda.revenue.$paymentId.receipt.tsx:765
የቤት ቁጥር በዚህ ቀበሌ ውስጥ ተመዝግቧል,House number exists,1,src/routes/woreda.rental-houses.$houseId.edit.tsx:99,string literal,src/routes/woreda.rental-houses.$houseId.edit.tsx:99
የቤት ቁጥር ከተመዘገበ በኋላ ሊቀየር አይችልም,Cannot be changed after registration,1,src/components/forms/HouseholdFormFields.tsx:127,string literal,src/components/forms/HouseholdFormFields.tsx:127
የቤት ቁጥር ያስፈልጋል,House number required,1,src/lib/householdSchema.ts:7,string literal,src/lib/householdSchema.ts:7
የቤት አይነት,House Type,1,src/routes/woreda.households.index.tsx:200,string literal,src/routes/woreda.households.index.tsx:200
የቤት አድራሻ,House & Location,1,src/routes/woreda.households.$householdId.print.tsx:176,titleAm/titleEn prop pair,src/routes/woreda.households.$householdId.print.tsx:176
የቤት ኪራይ,Rent,1,src/routes/woreda.rental-houses.index.tsx:160,string literal,src/routes/woreda.rental-houses.index.tsx:160
የቤት ኪራይ መጠን,Monthly Rent,1,src/routes/woreda.rental-houses.$houseId.edit.tsx:156,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.edit.tsx:156
የቤት ኪራይ መጠን (ETB / ወር),Monthly Rent Amount,1,src/routes/woreda.rental-houses.new.tsx:149,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.new.tsx:149
የቤት ኪራይ ዝርዝር,Rental Details,1,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:498,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:498
የቤት ኪራይ ጥያቄዎች,Rental Occupancy Requests,1,src/routes/woreda.rental-houses.requests.index.tsx:359,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.requests.index.tsx:359
የቤት ዝርዝር,House Details,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:224,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:224
የተመረጠው ጊዜ,Period: ${rangeLabel},1,src/routes/woreda.reports.index.tsx:150,string literal,src/routes/woreda.reports.index.tsx:150
የተመዘገበ ነዋሪ,Registered resident,1,src/routes/woreda.services.new.tsx:358,labelAm/labelEn prop pair,src/routes/woreda.services.new.tsx:358
የተመዘገበበት ቀን,Registered,1,src/routes/woreda.civil.$eventId.tsx:548,labelAm/labelEn prop pair,src/routes/woreda.civil.$eventId.tsx:548
የተሰበሰበ ገቢ,Revenue collected (ETB),1,src/routes/woreda.reports.index.tsx:319,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:319
የተሰጠበት,Issued,1,src/routes/v.$token.tsx:304,labelAm/labelEn prop pair,src/routes/v.$token.tsx:304
የተሰጠበት,Issue Date,1,src/routes/woreda.credentials.$requestId.print.tsx:1474,labelAm/labelEn prop pair,src/routes/woreda.credentials.$requestId.print.tsx:1474
የተሰጠበት ቀን,Issue Date,1,src/routes/woreda.credentials.$requestId.certificate.tsx:144,labelAm/labelEn prop pair,src/routes/woreda.credentials.$requestId.certificate.tsx:144
የተሰጡ ማስረጃዎች,Issued Credentials,1,src/routes/woreda.residents.$residentId.index.tsx:447,labelAm/labelEn prop pair,src/routes/woreda.residents.$residentId.index.tsx:447
የተሳሳተ ኢሜይል ቅርፀት,Invalid email format,1,src/lib/householdSchema.ts:27,string literal,src/lib/householdSchema.ts:27
የተስማማበት ወርሃዊ ኪራይ,Agreed Monthly Rent,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:330,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:330
የተቋረጠበት ቀን,Termination Date,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:339,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:339
የተከራይ መረጃ,Occupant Information,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:253,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:253
የተከራይ መረጃ,Applicant Details,1,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:460,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.requests.$requestId.index.tsx:460
የተከሰተበት,Incident,1,src/routes/woreda.services.$requestId.index.tsx:572,labelAm/labelEn prop pair,src/routes/woreda.services.$requestId.index.tsx:572
የተከሰተበት ቀን,Incident date,1,src/routes/woreda.services.new.tsx:438,labelAm/labelEn prop pair,src/routes/woreda.services.new.tsx:438
የተከሰተበት ቦታ,Incident place,1,src/routes/woreda.services.new.tsx:445,labelAm/labelEn prop pair,src/routes/woreda.services.new.tsx:445
የተከፈለ,Paid,1,src/hooks/useReportsAggregate.ts:538,string literal,src/hooks/useReportsAggregate.ts:538
የተከፈለ መጠን,Amount paid,1,src/routes/verify.receipt.$token.tsx:141,labelAm/labelEn prop pair,src/routes/verify.receipt.$token.tsx:141
የተያዙ ቤቶች በክፍያ ሁኔታ,Occupied houses by payment status,1,src/routes/woreda.reports.index.tsx:436,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:436
የተያዥ ሁኔታ,Occupancy,1,src/routes/woreda.rental-houses.$houseId.edit.tsx:167,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.$houseId.edit.tsx:167
የተያዥ ሁኔታ,Occupancy Status,1,src/routes/woreda.rental-houses.new.tsx:166,labelAm/labelEn prop pair,src/routes/woreda.rental-houses.new.tsx:166
የተጋበዘበት,Invited At,1,src/components/admin/PlatformUsersTab.tsx:218,string literal,src/components/admin/PlatformUsersTab.tsx:218
የተጠቃሚ ሚናዎች,Roles & Permissions,1,src/routes/woreda.settings.users-permissions.tsx:41,labelAm/labelEn prop pair,src/routes/woreda.settings.users-permissions.tsx:41
የተጠቃሚ ሚናዎች እና የስራ ድርሻ አስተዳደር,Role permissions & staff account administration,1,src/routes/woreda.settings.users-permissions.tsx:36,string literal,src/routes/woreda.settings.users-permissions.tsx:36
የተጠቃሚ ስም,Username,1,src/components/admin/PlatformUsersTab.tsx:215,string literal,src/components/admin/PlatformUsersTab.tsx:215
የትምህርት ደረጃ,Education Level,1,src/components/forms/ResidentWizardSteps.tsx:700,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:700
የትምህርት ደረጃ,Education,1,src/routes/woreda.residents.$residentId.print.tsx:291,labelAm/labelEn prop pair,src/routes/woreda.residents.$residentId.print.tsx:291
የትምህርትና ሥራ መረጃ,Education and Occupation,1,src/components/forms/ResidentWizardSteps.tsx:698,titleAm/titleEn prop pair,src/components/forms/ResidentWizardSteps.tsx:698
የትውልድ ሥፍራ,Place of Birth,1,src/components/forms/ResidentWizardSteps.tsx:629,titleAm/titleEn prop pair,src/components/forms/ResidentWizardSteps.tsx:629
የትውልድ ሥፍራ ስም,Place Name,1,src/components/forms/ResidentWizardSteps.tsx:644,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:644
የትውልድ ቀን,Date of Birth (Ethiopian),1,src/components/forms/ResidentWizardSteps.tsx:428,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:428
የትውልድ ቀን ወደፊት መሆን አይችልም,Date must be in the past,1,src/lib/residentSchema.ts:27,string literal,src/lib/residentSchema.ts:27
የትውልድ ቀን ያስፈልጋል,Date of birth required,1,src/lib/residentSchema.ts:26,string literal,src/lib/residentSchema.ts:26
የትውልድ ቀን ያስፈልጋል,DoB required,1,src/routes/woreda.civil.birth.new.tsx:45,string literal,src/routes/woreda.civil.birth.new.tsx:45
የትዳር ጓደኛ,Spouse,1,src/routes/woreda.households.$householdId.print.tsx:211,labelAm/labelEn prop pair,src/routes/woreda.households.$householdId.print.tsx:211
የነዋሪ ሙሉ ስም,Resident full name,1,src/routes/verify.letter.$token.tsx:126,labelAm/labelEn prop pair,src/routes/verify.letter.$token.tsx:126
የነዋሪ ቁጥር,Resident #,1,src/routes/woreda.credentials.index.tsx:85,string literal,src/routes/woreda.credentials.index.tsx:85
የነዋሪ ቁጥር,Resident No.,1,src/routes/woreda.revenue.$paymentId.receipt.tsx:759,labelAm/labelEn prop pair,src/routes/woreda.revenue.$paymentId.receipt.tsx:759
የነዋሪ ቁጥር ቅርጸት,Resident Number Format,1,src/routes/woreda.settings.woreda-configuration.tsx:426,titleAm/titleEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:426
የነዋሪው ቤተሰብ ቀበሌ የለውም,This resident,1,src/routes/woreda.credentials.new.tsx:411,string literal,src/routes/woreda.credentials.new.tsx:411
የነዋሪዎች ቅሬታዎች,Citizen Complaints,1,src/routes/woreda.complaints.tsx:19,titleAm/titleEn prop pair,src/routes/woreda.complaints.tsx:19
የአሁኑ መኖሪያ,Current Residence,1,src/components/forms/ResidentWizardSteps.tsx:546,titleAm/titleEn prop pair,src/components/forms/ResidentWizardSteps.tsx:546
የአመልካች መረጃ,Applicant,1,src/routes/woreda.services.new.tsx:356,titleAm/titleEn prop pair,src/routes/woreda.services.new.tsx:356
የአመልካች ስም,Applicant name,1,src/routes/woreda.services.new.tsx:370,labelAm/labelEn prop pair,src/routes/woreda.services.new.tsx:370
የአባል አይነት,Member type,1,src/components/residents/ResidentProfileTabs.tsx:348,labelAm/labelEn prop pair,src/components/residents/ResidentProfileTabs.tsx:348
የአባት ስም (በእጅ),Father,1,src/routes/woreda.civil.birth.new.tsx:381,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:381
የአካባቢ አገልግሎት አይገኝም,Geolocation not available,1,src/components/gis/LocationPickerMap.tsx:44,toast: error,src/components/gis/LocationPickerMap.tsx:44
የአካባቢ ፈቃድ አልተሰጠም,Location permission not granted,1,src/components/gis/LocationPickerMap.tsx:55,toast: error,src/components/gis/LocationPickerMap.tsx:55
የአገልግሎት ክፍያዎች,Service Fees,1,src/routes/woreda.settings.woreda-configuration.tsx:478,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:478
የአገልግሎት ዓይነት,Service type,1,src/routes/woreda.services.new.tsx:298,titleAm/titleEn prop pair,src/routes/woreda.services.new.tsx:298
የአገልግሎት ዓይነት,Service Type,1,src/routes/woreda.settings.woreda-configuration.tsx:1430,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:1430
የአገልግሎት ጥያቄዎች,Service Requests,1,src/routes/woreda.services.index.tsx:20,titleAm/titleEn prop pair,src/routes/woreda.services.index.tsx:20
የአገልግሎት ጥያቄዎች በሁኔታ,Service requests by status,1,src/routes/woreda.reports.index.tsx:450,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:450
የአገልግሎት ጥያቄዎች በዓይነት,Service requests by type,1,src/routes/woreda.reports.index.tsx:456,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:456
የአገልግሎትና የክፍያ ተመን,Services and Fees,1,src/routes/woreda.settings.woreda-configuration.tsx:302,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:302
የእናት መረጃ ያስፈልጋል,Provide mother (linked resident or manual name),1,src/routes/woreda.civil.birth.new.tsx:243,toast: error,src/routes/woreda.civil.birth.new.tsx:243
የእናት ስም,Mother,1,src/components/forms/ResidentWizardSteps.tsx:398,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:398
የእናት ስም (በእጅ),Mother,1,src/routes/woreda.civil.birth.new.tsx:365,labelAm/labelEn prop pair,src/routes/woreda.civil.birth.new.tsx:365
የእናት ስም ያስፈልጋል,Mother,1,src/lib/residentSchema.ts:22,string literal,src/lib/residentSchema.ts:22
የኩነት ምዝገባዎች,Vital events,1,src/routes/woreda.reports.index.tsx:311,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:311
የኩነት ምዝገባዎች በዓይነት,Vital events by type,1,src/routes/woreda.reports.index.tsx:394,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:394
የኩነት ቁጥር ቅርጸት,Civil Event Number Format,1,src/routes/woreda.settings.woreda-configuration.tsx:449,titleAm/titleEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:449
የኪራይ መጠን ያስፈልጋል,Rent amount required,1,src/lib/householdSchema.ts:60,string literal,src/lib/householdSchema.ts:60
የኪራይ ቤት አርትዕ,Edit Rental House,1,src/routes/woreda.rental-houses.$houseId.edit.tsx:136,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.$houseId.edit.tsx:136
የኪራይ ቤቶች ሁኔታ,Rental houses by occupancy,1,src/routes/woreda.reports.index.tsx:430,titleAm/titleEn prop pair,src/routes/woreda.reports.index.tsx:430
የኪራይ ብር መጠን,Rent Amount (ETB),1,src/components/forms/HouseholdFormFields.tsx:359,labelAm/labelEn prop pair,src/components/forms/HouseholdFormFields.tsx:359
የኪራይ ዝርዝር,Tenancy Details,1,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:318,titleAm/titleEn prop pair,src/routes/woreda.rental-houses.$houseId.occupant-print.tsx:318
የካሜራ ፈቃድ ተከልክሏል,Camera permission denied,1,src/components/verification/HararildScanner.tsx:151,string literal,src/components/verification/HararildScanner.tsx:151
የክሊራንስ ደብዳቤ,Clearance Letter,1,src/components/forms/ResidentWizardSteps.tsx:817,labelAm/labelEn prop pair,src/components/forms/ResidentWizardSteps.tsx:817
የክስተት ቁጥር,Search by event #…,1,src/routes/woreda.civil.index.tsx:452,string literal,src/routes/woreda.civil.index.tsx:452
የክፍያ ማጣቀሻ ያስገቡ,Enter a payment reference,1,src/routes/woreda.services.$requestId.index.tsx:315,toast: error,src/routes/woreda.services.$requestId.index.tsx:315
የወላጆች መረጃ,Parents,1,src/routes/woreda.civil.birth.new.tsx:354,titleAm/titleEn prop pair,src/routes/woreda.civil.birth.new.tsx:354
የወረዳ መገለጫ፣ ምስሎች፣ ቅርጸቶች እና ክፍያዎች,"Woreda profile, images, numbering formats & fees",1,src/routes/woreda.settings.woreda-configuration.tsx:294,string literal,src/routes/woreda.settings.woreda-configuration.tsx:294
የወረዳ ሙሉ ስም (አማ),Full Name of Woreda,1,src/routes/woreda.settings.woreda-configuration.tsx:311,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:311
የወረዳ ሙሉ ስም (እንግ),Full Name of Woreda (Eng),1,src/routes/woreda.settings.woreda-configuration.tsx:317,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:317
የወረዳ ስም (ሐረሪ),Woreda Name (Harari),1,src/routes/woreda.settings.woreda-configuration.tsx:329,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:329
የወረዳ ስም (ኦሮምኛ),Woreda Name (Oromiffa),1,src/routes/woreda.settings.woreda-configuration.tsx:332,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:332
የወረዳ ውቅር,Woreda Configuration,1,src/routes/woreda.settings.woreda-configuration.tsx:292,titleAm/titleEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:292
የወረዳው አጭር ስም (አማ),Short Name of Woreda,1,src/routes/woreda.settings.woreda-configuration.tsx:323,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:323
የወረዳው አጭር ስም (እንግ),Short Name of Woreda (Eng),1,src/routes/woreda.settings.woreda-configuration.tsx:326,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:326
የወረዳው ዕለታዊ ሁኔታ,Operational summary for your woreda,1,src/routes/woreda.dashboard.tsx:232,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:232
የውል መጀመሪያ ቀን ያስፈልጋል,Contract start required,1,src/routes/woreda.rental-houses.occupants.new.tsx:326,string literal,src/routes/woreda.rental-houses.occupants.new.tsx:326
የውል መጀመሪያ ቀን ያስፈልጋል,Contract start date required,1,src/routes/woreda.rental-houses.occupants.new.tsx:427,string literal,src/routes/woreda.rental-houses.occupants.new.tsx:427
የዛሬ አዲስ ምዝገባዎች,New Today,1,src/routes/woreda.dashboard.tsx:255,titleAm/titleEn prop pair,src/routes/woreda.dashboard.tsx:255
የይለፍ ቃላት አይመሳሰሉም,Passwords do not match.,1,src/components/common/ChangePasswordDialog.tsx:52,string literal,src/components/common/ChangePasswordDialog.tsx:52
የይለፍ ቃል መልሶ ማስጀመሪያ አገናኝ ተልኳል,Reset link sent,1,src/components/settings/UsersRolesTab.tsx:288,toast: success,src/components/settings/UsersRolesTab.tsx:288
የይለፍ ቃል ቢያንስ 8 ፊደላት ሊኖረው ይገባል,Password must be at least 8 characters.,1,src/components/common/ChangePasswordDialog.tsx:48,string literal,src/components/common/ChangePasswordDialog.tsx:48
የይለፍ ቃል ተቀይሯል,Password changed,1,src/components/common/ChangePasswordDialog.tsx:62,toast: success,src/components/common/ChangePasswordDialog.tsx:62
የደረሰኝ ቁጥር ቅርጸት,Receipt Number Format,1,src/routes/woreda.settings.woreda-configuration.tsx:461,titleAm/titleEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:461
የደብዳቤ ቁጥር,Letter no.,1,src/routes/verify.letter.$token.tsx:119,labelAm/labelEn prop pair,src/routes/verify.letter.$token.tsx:119
የደብዳቤ አብነት ተቀምጧል,Letter template saved,1,src/components/settings/LetterTemplatesTab.tsx:90,toast: success,src/components/settings/LetterTemplatesTab.tsx:90
የደብዳቤ አብነቶች,Letter Templates,1,src/routes/woreda.settings.woreda-configuration.tsx:303,labelAm/labelEn prop pair,src/routes/woreda.settings.woreda-configuration.tsx:303
የደብዳቤውን ሙሉ ቃል ይጻፉ…,"Write the letter body, using placeholders like {APPLICANT_NAME}",1,src/components/settings/LetterTemplatesTab.tsx:252,placeholder,src/components/settings/LetterTemplatesTab.tsx:252
የገባበት ቀን ያስፈልጋል,Rent start date required,1,src/routes/woreda.rental-houses.$houseId.index.tsx:474,string literal,src/routes/woreda.rental-houses.$houseId.index.tsx:474
የጋብቻ ምዝገባ ተልኳል,Marriage submitted,1,src/routes/woreda.civil.marriage.new.tsx:170,toast: success,src/routes/woreda.civil.marriage.new.tsx:170
የጋብቻ ቀን (ካለ),Marriage Date (if known),1,src/routes/woreda.civil.divorce.new.tsx:263,labelAm/labelEn prop pair,src/routes/woreda.civil.divorce.new.tsx:263
የጋብቻ ዝርዝር,Marriage Details,1,src/routes/woreda.civil.marriage.new.tsx:253,titleAm/titleEn prop pair,src/routes/woreda.civil.marriage.new.tsx:253
የግል መረጃ,Identity,1,src/components/forms/ResidentWizardSteps.tsx:356,titleAm/titleEn prop pair,src/components/forms/ResidentWizardSteps.tsx:356
የጥያቄ ቁጥር,Request #,1,src/routes/woreda.credentials.index.tsx:82,string literal,src/routes/woreda.credentials.index.tsx:82
